title,price,area,district
户型好+位置安静+配套齐全+出行便捷+青塔商圈,6500,100,丰台
中粮祥云新装修 新家具 保持好配套齐全,32000,532.25,顺义
垡头北京华侨城南北4室,20000,213.82,朝阳
亦庄 金茂悦 住宅 户型方正 齐全,11000,162,大兴
圣世一品 南北3居 空房租 保养好 入住有保洁 方便看,35000,278,朝阳
方庄时代芳群南3室,14000,162.3,丰台
西二旗领秀新硅谷南北3室,13000,166.7,海淀
武夷花园运河明珠东西3室,7000,125.78,通州
北部新区尚峰尚水东1室,3300,48.47,海淀
金茂府 科技住宅 南北5居室 装修好 家具全齐,100000,382,朝阳
银谷美泉三居室，家具电器齐全，温泉入住，逸翠园,13000,130,朝阳
西山壹号院毛坯 百度科技园 网易联想 可需要长租,33000,316,海淀
东坝首开常青藤四期南北3室,8000,94.88,朝阳
亦庄和成璟园南北3室,15000,164.95,大兴
【空房】  照片由我拍摄   付款可沟通   三环边,50000,333.53,朝阳
利泽西园 东南2居室 家具齐全 干净卫生 采光充足 视野好,9000,99.98,朝阳
丽都水岸三期  南北通透大开间  开阔敞亮,30000,170,朝阳
临玉渊潭公园 南北3居室加书房 保养好 基本未住,65000,377.84,海淀
使馆壹号院南北2居 保养9.9成新 坐在家里可观景 方便看,42000,204,东城
远洋新干线全房源信息,9700,72,朝阳
成寿寺中海城风情苑南2室,8500,104,丰台
中粮祥云 新装修 新家具 保持好配套齐全,30000,248,顺义
林萃路，上林世家，正规两居室，空房，看 房方便，人车分流,17000,154.55,朝阳
天通苑 附近正规南北通透四居室家具电器齐全,15000,234,昌平
免中间费，开发商装修，保养好，照片实图,15000,76.7,朝阳
丽高府 新装修 新家具 保持好配套齐全,15500,208.54,顺义
望京，里外里公寓，南北两居室，户型正，视野开阔，凯德对面,18500,151.02,朝阳
望京 点击未来 东南1居 装修干净整洁 高层采光好 可谈价,5600,40.9,朝阳
中央别墅区龙湾别墅北南4室,40000,366,顺义
东方普罗旺斯 家具全 可长租 采光充足,55000,555,昌平
九棵树世爵源墅南北4室,14000,181.34,通州
豆各庄富力又一城C区南北3室,9500,168.53,朝阳
天竺万通天竺新新家园南北3室,13000,120,顺义
后沙峪中粮祥云国际生活区南北5室,35000,301.91,顺义
成寿寺中海城风情苑南北3室,10500,124,丰台
万通天竺新新家园 新装修 新家具 保持好配套齐全,38000,386,顺义
一层带60平花园，3卧室朝南，南向明卫，宽敞大客厅，有钥匙,27000,177.45,西城
西三环，人车分流，采光好，视野无遮挡，近地铁,55000,326.72,海淀
西三环，人车分流，采光好，视野无遮挡，近地铁,65000,470,海淀
朱雀门，南北通透大三居，双卧朝南，高层采光好，有密码，随时租,27000,186,西城
大望路 合生汇 保养装修好，大落地窗，配套齐，随时看,30000,151.46,朝阳
观湖国际西 南北通透四居室 三卧夹客厅朝南 家具全齐 带车位,36000,225,朝阳
公园1872 装修保养好 全，新社区 环境优美 随时看,38000,227.4,朝阳
公园1872 保养好 知名社区 环境优美 随时看,10000,65.87,朝阳
望京 四环边 方舟苑 西向2居 居家装修 高层采光好 可谈价,7500,81.05,朝阳
望京 大西洋新城 东西3居 房东首租 装修干净整洁 可谈价,17000,160,朝阳
【精选房源】  家具齐全   欧式简约风格    押一付三,50000,315,朝阳
家具齐全 随时入住 近马连洼梅园 菊园 兰园 西山华府,6300,60,海淀
中央别墅区丽高王府南北3室,30000,210,顺义
全南向一居  高层观景/采光优良 家具全齐保持完好,9500,77,朝阳
上林世家南北四居室，空房，随时入住，车位充足,22000,217.61,朝阳
五道口，龙湖唐宁，南北三卫四居，随时起租，装修不错，东西齐全,36000,188.75,海淀
北苑 万科星园 首租 三居室  居家装修,16000,155.29,朝阳
三里屯首开铂郡南向大1居，128平米，19000免中介,19000,128.67,朝阳
南向一居室，看小区的花园，家具齐全，房主人比较好，可看,8800,77.37,朝阳
望花路西里 两居室 南北向 有钥匙 空房 短租,4800,61.79,朝阳
三居室带有一个储物间 利用空间充足 动静分离,16000,161.67,海淀
方庄方庄六号南北3室,12500,166,丰台
东区国际两居室 采光保养好 可以bangong方便看,11000,106.26,朝阳
广安门 远见名苑 装两室两厅 地铁达官营站旁 随时租 钥匙,8000,83.66,西城
百子湾富力十号南西北4室,70000,288.68,朝阳
随时起租 西三环 西钓鱼台 08年社区 复式 不临街 随时看,25000,179.32,海淀
幸福家园+欧式婚房装修+头次租+高层采光好+明厨明卫+临地铁,21000,184.73,东城
阜成路航天桥 钓鱼台7号院 319平南北三居室 装修保养好,129000,319.44,海淀
首租 崇文 东花市 南北2室 室内如图 集中供暖 随时起租,9000,76.63,东城
华威桥 山水文园西园 装修好 感受型住宅 业主直租,23000,175.61,朝阳
望京 金隅国际 南北大3居 装修干净 高层观景好 可谈价,23000,233,朝阳
百子湾富力十号南北3室,62000,228.51,朝阳
林肯公园，住宅2居室，配置齐全，低楼层无遮挡，可聊价格,8300,94.88,大兴
临河社区+康桥水郡+全景落地窗+家具齐全+金源,14000,117.57,海淀
东三环、大望路，蓝堡国际公寓南北四居室,27000,251.47,朝阳
随时起租 可长租 临翠湖科技园 环保科技园 华为总部,6000,90.48,海淀
保利西山林语 南北通透两居室 空房 中楼层,6000,95.83,海淀
人流量大 地铁近  周边配套应有尽有 可工作,80000,327.82,丰台
领秀硅谷+离软件园近，长租+别墅+,24000,232.57,海淀
金茂府三居室 南北通透 家居齐全  业主诚租,40000,201,朝阳
东西通透，双面观景，配置齐全，保养好，临朝阳公园！,17500,127.27,朝阳
泛海澜海园 安静一居 户型方正保养好  安静,19000,116,朝阳
北清路价格合适 齐全干净有电梯交通方便,10000,146.33,海淀
鸿华家园+南北四居室+不临街+居家+齐全+双卫格局,22000,197.48,朝阳
广渠路15号，恒温，生态科技系统，舒适感人，随时看,7500,40,朝阳
方舟苑2期全明格局两居室，位置安静不临街，双阳台设计，通风好,8600,99.33,朝阳
东方普罗旺斯 装修好 打电话过来随时看,55000,799.15,昌平
US联邦公寓 东西通透4居室  电梯房,32000,228.94,朝阳
临河里金隅通和园南2室,3800,83.32,通州
一层带花园，正规4居室，空房，起租随时，安静不临街！,35000,213,朝阳
观湖国际四居室 南北通透，观景房，高层，有钥匙,25000,184,朝阳
方舟苑三期 东北两居 客厅落地窗 动静分离 保持干净 空置,10600,105.04,朝阳
商品社区、园区环境好+格局合理＋采光充足＋配套齐全＋方便看,10000,133,海淀
观湖国际 高层 视野开阔 带拐角阳台 有钥匙 随时看.,25000,160,朝阳
南向三居  面宽16.5米  全齐  可看可起租,21000,178,朝阳
朝阳公园 观湖 安静 双卧夹客厅南向 二居 保养好 方便看,21000,136.95,朝阳
山水文园西园  高层 南北3居室 有钥匙,50000,388.17,朝阳
前门台基厂三条东西2室,8000,60.79,东城
万国城一期南北三居 新刷墙 新铺地板 方便入住,33000,225,东城
润泽高层 不临街 钻石主卧 带保姆间 观景效果好 临公园,25000,270.44,朝阳
北苑路北 领地96平西南两居室 户型方正 带阳台,8800,96.22,朝阳
水木兰亭 新装修 新家具 保持好配套齐全,21000,193,顺义
大望路 SKP 蓝堡国际南北三居室 保养好 方便看,24000,154.96,朝阳
国美正规两居，价低，临地铁大悦城。,8300,98,朝阳
慧谷根园南北四居室 安静不临街 带电梯 采光视野好,39000,305,朝阳
